,rms_spike,rms_lfp,gamma,alpha,beta,delta,theta,peaks,targets
0,0.101282552705,9.26116285277,21.8718801156,112.888103387,50.7740440217,50.7294924739,88.4347841289,25.4285714286,nucleus accumbens
1,0.0951299806427,6.77159058559,11.2789668806,96.1489827238,38.2592401789,42.5155251161,75.8628521081,26.380952381,caudate putamen
2,0.0891234619745,5.321826159,5.63988443375,86.4723631513,31.4291342335,37.8150714206,68.7219395529,25.0689655172,white matter
3,0.0741300503225,5.2913926793,4.12876136893,95.4399754588,28.7383853194,42.3462821351,78.1215470094,27.4413793103,primary motor cortex
4,0.038932861414,0.206789470411,0.198205942617,1.43868992216,0.650115982991,0.663793779035,1.1509295225,10.53125,above
5,0.0,9.51799688507,11.3403819085,156.731270389,58.0103869675,65.7712953964,121.74665484,23.0704225352,globus pallidus
6,0.0,10.0665039064,9.40182422891,169.777814449,59.2810804663,77.9307934561,135.888588316,17.4234234234,caudate putamen
7,0.0,9.85832340802,8.12030013014,170.975108748,58.0073014358,84.1567094022,141.05433885,17.3571428571,white matter
8,0.0,8.31697549943,7.21836754801,152.577431827,45.779511267,59.6735706892,122.182340854,31.4566929134,primary motor cortex
9,0.0,0.374178202678,0.51253003051,3.012868663,1.45836070418,1.60013950162,2.50428113063,9.05405405405,above
10,0.117475416246,3.39440772857,7.03754895411,41.9785893137,21.5499640708,18.5645756467,32.2587243077,11.9069767442,fimbria
11,0.109195321832,4.16205106033,7.11691996449,59.2358615347,25.9962857893,25.6844501892,45.977641487,8.68421052632,lateral ventricle
12,0.0957968543939,3.96306553171,6.65528077115,56.4329600145,24.7265648141,24.1288870336,43.7336573054,7.52173913043,white matter
13,0.0824352833085,2.45789439062,4.92928003285,27.5349275552,14.6233623001,11.4296024803,20.8365127194,27.1111111111,secondary motor cortex
14,0.0434002915212,0.274768130097,0.339813352923,1.58739387646,0.900111073833,0.728117269171,1.24718141138,7.26,above
15,0.128790379881,8.24622741435,8.80409397018,138.096364571,44.8663779206,53.8371364199,108.152376733,59.1081081081,VPM
16,0.118422657949,8.54663048532,8.90943691104,143.590104489,48.4734196383,56.0942151674,112.026989636,91.1612903226,Po
17,0.0939432438647,9.50329930715,9.91785002714,162.722691034,55.5663273416,66.5855653456,128.518333825,67.4,LDVL
18,0.0842877883,10.5560566272,12.389462279,181.176189741,64.6678852301,67.0845493424,139.038743235,12.1951219512,fimbria
19,0.0749983527724,8.61098867058,11.2215808329,145.308474515,53.4239869793,49.4749186383,109.230748234,15.914893617,lateral ventricle
20,0.0676835541396,4.74751774604,6.54500439762,81.7056209624,27.860095185,23.9184033257,60.3799769893,17.7391304348,white matter
21,0.0627915859271,4.25544565492,4.017470881,73.36075551,24.3269061185,21.3992426278,53.7802333608,45.6338028169,primary somatosensory cortex
22,0.0433611396942,1.11039000361,0.681408566811,20.6131732161,5.92104074354,3.91063075953,14.4079038064,9.54761904762,above
23,0.151090584208,3.99661908758,8.03281993904,42.2694274947,19.9206292928,19.0166717852,33.269783792,68.2972972973,VPM
24,0.142256322555,4.10005228668,8.24023747273,41.4195055023,19.3858562294,18.5207422752,32.7725801218,73.5161290323,Po
25,0.109741218357,4.02106656724,8.67917907095,48.7408258218,23.632043581,20.9361506161,37.7853863374,51.5714285714,LDVL
26,0.0974574819189,4.78515353575,10.6502736386,63.0291837349,30.1966194821,26.1859420451,48.4567586694,16.8048780488,fimbria
27,0.0882959141579,3.80152707121,8.5929805756,49.8888128453,23.4748833819,21.856337693,39.1007275577,21.2765957447,lateral ventricle
28,0.078789206484,1.72272158858,3.84729267949,19.456782288,9.75088133331,7.91441653791,14.931514652,18.5217391304,white matter
29,0.0734915862932,1.82497132782,3.14794167272,21.6910237236,8.89084188074,9.61918777072,17.4624615008,44.7183098592,primary somatosensory cortex
30,0.0488946529195,0.246882863818,0.338101421231,1.37162716581,0.814289928492,0.604100153164,1.07017249626,10.880952381,above
31,0.156971437597,4.22150228908,6.78787378395,54.3107222213,24.5746605655,21.4642432245,40.9595676467,49.0869565217,zona incerta
32,0.135109763466,5.11275175913,8.57348355914,73.1146503267,31.0963920974,30.4440317552,56.4421969164,33.8113207547,ventral thalamus
33,0.111374251478,6.25909811912,9.78533047014,97.7877027702,39.1702156165,44.4245012619,77.3249539631,7.3829787234,lateral dorsal
34,0.0972309664125,8.00983269242,13.726119321,123.034376103,50.0018283676,57.6824830178,98.0238246486,10.2166666667,fimbria
35,0.0848621515462,2.15827099971,3.68898591688,28.7577267069,12.4467578648,13.0875109977,22.6530534318,11.0952380952,lateral ventricle
36,0.0823447665225,1.76428729633,2.91703261149,21.955782727,9.53057316126,10.0986395577,17.4149075738,16.2727272727,white matter
37,0.0763595356211,1.02822730621,1.84671618888,10.6665618491,5.00308690887,4.74974577015,8.34706310951,22.3733333333,primary motor cortex
38,0.0482453573826,0.28069181358,0.319882774423,1.83166839418,0.936276794669,0.861325228485,1.44024437047,7.64516129032,above
39,0.0,4.05906077411,8.74896744626,47.976127021,20.3217154224,25.1002891753,40.2740477426,44.9230769231,ventral thalamus
40,0.0,4.54789105813,10.1073151032,55.2859277999,23.6111074791,28.5425793872,46.2252893734,16.375,white matter
41,0.0,6.08703653235,13.6329648608,74.7562433108,31.0491476307,38.147766335,62.4816888486,48.575,lateral geniculate
42,0.0,25.999566032,74.0415595184,315.703808986,145.581627719,158.223583802,259.461324208,26.8474576271,CA3
43,0.0,42.1770137406,59.9599570636,719.040840525,230.744234349,357.486747303,602.063556475,9.48717948718,dentate gyrus
